전공,트랙명,전체 전공,캡스톤,기준학점,
경영,글로벌경영,9,0,18,
,마케팅전략,7,2,21,
,과학적경영,8,0,18,
,인사조직(경영),6,1,18,
,통합재무분석,7,0,18,
,회계정보분석및관리,7,0,21,
,비즈니스애널리틱스,9,1,27,
경제,글로벌경제,8,0,18,
,"기업, 산업경제",8,0,18,
,"재무, 금융",9,0,18,
,공공NGO,8,0,18,
,법과경제,7,0,18,
,경제학심화,8,0,18,
기계시스템,헬스케어시스템,21,2,47,
,로봇,20,1,44,
,자동차,21,1,47,
,에너지,21,1,47,
,헬스케어로보틱스,6,2,18,
,"커넥티드,IOT",25,4,18,
,"인공지능,자율주행(기계시스템)",29,3,18,
,"스마트센서,진단(기계시스템)",34,2,18,
,"그린에너지,소재(기계시스템)",29,2,18,
기초공,-,,,,
소프트웨어융합,데이터사이언스,8,0,21,
,미디어인터페이스,9,0,18,
,산업데이터분석,8,2,18,캡스톤디자인 1과목 이상 필수 이수
,"DS,SW 심화",7,1,18,
신소재물리,"반도체,전자재료",8,0,18,
,"나노,신소재",10,2,18,
,물성시뮬레이션,7,0,20,
,"소재물성시뮬레이션,SW",8,0,23,
,"미래소재,에너지융합시스템",20,2,20,
인공지능공학(IT공학전공),스마트IoT솔루션,16,5,30,
,빅데이터분석,16,2,30,
,"AI,SW심화",15,3,30,
,지능형서비스기획,6,3,18,
,커넥티드IoT,25,4,18,
,"인공지능,자율주행(IT공학)",29,3,18,
,"스마트센서,진단(IT공학)",29,2,18,
,"그린에너지,소재(IT공학)",23,2,18,
지능형전자시스템 ,지능형반도체,11,0,27,
,무선통신멀티미디어,10,1,30,
,융합형전자,9,0,27,
화공생명공학 ,화공공정,10,2,18,
,신소재공학,10,1,18,
,바이오공학,9,0,18,
,에너지환경융복합심화과정,6,2,18,
,"커넥티드,IoT",25,4,18,
,"인공지능,자율주행(화공생명)",29,3,18,
,"스마트센서,진단(화공생명)",35,3,18,
,"그린에너지,소재(화공생명)",31,3,18,
글로벌협력 ,글로벌다국적기업및국제사무,7,1,18,
,글로벌커뮤니케이션,9,1,18,
,국제개발협력,11,1,18,
미디어,저널리즘,13,0,18,
,"디지털미디어,콘텐츠",16,0,18,
,"커뮤니케이션전략,비즈니스",15,1,18,
,"미디어데어터,SW",7,,18,
법,-,,,,
정치외교,공공영역,11,1,18,
,지역인구,13,0,18,
,안보와국제협력,13,0,18,
,선거와여론,9,1,18,
사회심리,인지및행동분석,7,0,18,
,법심리및범죄분석,6,0,18,
,"다문화사회,마이너리티심리분석",6,0,18,
,상담및임상평가,8,0,18,
,인사및조직관리,9,1,18,
소비자경제 ,소비자경제및금융,8,0,18,
,데이터기반마케팅,8,1,18,
,"소비자공학,SW",8,2,24,
행정,공공관리,11,0,18,
,공공인재,17,0,18,
,공공데이터사이언스SW,11,1,21,
"홍보광고, ",PR기획전문가,9,2,21,
,광고기획전문가,13,3,21,
,컨텐츠크리에이터,11,2,21,
,빅데이터및리서치전문가,6,1,18,
,"디지털홍보광고융합,SW",6,1,24,
"가족자원경영, ",가족자원기획관리,8,0,18,
,"부부,가족상담",8,0,18,
,가족복지정책,8,1,18,
,"가족서비스콘텐츠개발,SW",9,1,24,
"식품영양,",식품산업,8,1,24,
,헬스케어(식품영양),6,0,18,
"아동복지, ","아동,청소년복지전문가",16,0,18,
,"아동보육,교육전문가",14,0,18,
,아동심리상담전문가,15,0,18,
,아동청소년공공서비스전문가,15,0,18,
,아동창업전문가,18,0,18,
의류,패션마케팅머천다이징,8,0,20,
,패션디자인,10,0,19,
,패션테크니컬,15,0,18,
,패션텍스타일,13,0,18,
,"스마트,3D디지털의류생산,패션창업",16,0,18,
"영어영문, ",영미문학,25,0,30,
,영미문화,19,0,30,
,영어학,16,0,30,
,통번역학,22,0,30,
,"언어와AI,SW",9,0,24,
"관현악, ",관악협주전문연주자,12,0,20,
,현악합주전문연주자,8,0,20,
,교향악전문연주자,8,0,20,
,독주전문연주자,18,0,20,
,"음악이론,역사탐구",10,0,20,
,음악관련전문기술자,19,0,20,
"성악, ",성악이론및실습,10,0,20,
"작곡, ",음악이론과분석,9,0,18,
,음악제작,12,0,24,
,"디지털음악컨텐츠,SW",9,0,21,
"피아노, ",음악에대한이해,10,0,20,
,음악의지식과기술,12,0,20,
,전공의다양성,11,0,18,
,전문연주자양성,18,0,20,
"무용, ",전문무용인,14,0,27,
,공연콘텐츠문화산업관련진출,14,1,28,
"수학, ",금융/보험,7,0,18,
,IT개발,8,0,18,
,정보보안,7,0,18,
,수학교육,6,0,18,
"생명시스템, ",생명과학심화연구,11,0,18,
,글로벌바이오융합,10,0,18,
"체육교육, ",체육교육,11,0,23,
,생활체육,14,0,24,
"화학, ",고급물리화학,7,0,18,
,고급유기화학,7,0,20,
,무기화학의이론과응용,9,0,20,
,분석화학전문,9,0,19,
"통계, ","산업,공공자료수집및분석",7,0,18,
,금융자료분석,8,0,18,
,의생명공학데이터분석,8,0,18,
,데이터사이언스(통계학과),9,0,18,
,빅데이터,9,0,18,
,보험자료분석,9,0,18,
"약학, ",응용약학,10,1,20,
,임상약학,9,0,20,
,산업약학,10,0,21,
"르꼬르동블루외식경영, ",외식산업경영,11,2,18,
,와인식음료서비스특화경영,9,0,18,
,환대산업융합경영,10,3,18,
"문헌정보, ",디지털정보관리,10,1,18,
,정보서비스,7,0,18,
,기록관리와디지털아카이브,8,1,18,
,디지털출판,9,3,18,
,"문헌정보학데이터사이언스,SW",8,0,24,
"문화관광학, ",문화관광경영,11,0,18,
,문화관광마케팅,12,0,18,
,문화관광프로젝트,12,1,18,
"독일언어문화학, ","언론방송,출발콘텐츠기획및제작",8,0,18,
,독일어권예술과기업문화탐색,8,0,18,
,유럽아동청소년콘텐츠기획및제작,8,0,18,
"한국어문학, ",-,,,,
"중어중문, ",-,,,,
"프랑스언어문화학, ",프랑스문화산업전문가,9,0,18,
,프랑스어권지역전문가,8,0,18,
"역사문화학, ",공공직무역량개발,11,0,27,
,"역사문화콘텐츠,미디어역량개발",7,1,21,
,"교육,연구직역량개발",7,0,21,
,"역사문화콘텐츠개발,SW",10,1,24,
"일본학, ",일본문화콘텐츠산업,7,0,18,
,일본어교육,6,0,18,
"시각영상디자인, ",디자인융합스타트업,9,0,21,
,브랜드&사용자경험디자인,9,0,22,
"공예, ",금속주얼리디자인,10,1,19,
,도자작품,10,0,19,
,목칠디자인,9,2,19,
,섬유디자인,10,1,19,
,아트프러너양성,8,0,18,
"환경디자인, ",스페이스커뮤니케이션디자인,6,0,18,
,메타버스스튜디오,10,2,18,
,"건축,공간,환경디자인",12,0,20,
,사용자중심공간큐레이팅,8,1,21,
"산업디자인, ",브랜드기획과디자인비즈니스,10,8,24,
,창의적혁신과상품개발,10,9,24,
,"디지털디자인과사용자경험,SW",7,3,21,
회화,한국화작가,10,0,19,
,서양화작가,10,0,18,
,미술교육자,12,0,22,
,미술경영자,12,0,18,
합계,,2029,137,,
